Max,Min,Mean,SD,Kurtosis,Skewness,RMS,Class
2.076412267,-2.098140651,-0.004834893,0.8327211,-1.025607899,0.272693647,0.832705094,Faulty Bearing
2.126952915,-2.019076319,0.000450605,0.828405301,-1.023982561,0.272640851,0.828389365,Faulty Bearing
2.031677734,-2.106511105,0.002740156,0.830341715,-1.036173707,0.292989324,0.830325596,Faulty Bearing
1.990008954,-2.020506021,0.009907754,0.813859699,-0.990652781,0.23754357,0.813844054,Faulty Bearing
1.939490573,-2.132803543,-0.000665507,0.800163551,-0.904967302,0.167978761,0.80014817,Faulty Bearing
2.216250688,-2.154319018,-0.004471452,0.771806963,-1.056360765,0.182948765,0.771792128,Faulty Bearing
2.206010064,-2.144201318,0.001545523,0.773933431,-1.049175314,0.18352315,0.773918555,Faulty Bearing
2.310469482,-1.982611444,0.002728384,0.769623398,-1.052008084,0.184143846,0.769608604,Faulty Bearing
2.457307315,-2.240332389,-0.001004496,0.804100849,-0.91196349,0.168838622,0.804085392,Faulty Bearing
2.347809326,-2.276973713,-0.001771629,0.811465026,-0.907982308,0.162163126,0.811449428,Faulty Bearing
2.234431758,-2.197620139,0.003746826,0.800897409,-0.890911592,0.142947071,0.800882014,Faulty Bearing
2.138715708,-2.301978147,0.001560452,0.781093621,-0.94659921,0.186743994,0.781078607,Faulty Bearing
2.20657067,-2.005417541,-0.000806818,0.779639016,-0.922374045,0.159278962,0.77962403,Faulty Bearing
2.164931381,-2.050406849,-9.62E-05,0.778162722,-0.938077713,0.147137371,0.778147764,Faulty Bearing
2.070431667,-2.150820774,-0.001436992,0.77901169,-0.902549648,0.141446646,0.778996716,Faulty Bearing
1.910417283,-2.03738085,-0.001759122,0.771346139,-0.929212896,0.126439233,0.771331312,Faulty Bearing
1.90902714,-2.251409252,-0.000568206,0.771820959,-0.910065925,0.111233909,0.771806123,Faulty Bearing
1.839204288,-1.742793703,-0.000764784,0.721304679,-1.14011957,0.148431021,0.721290814,Faulty Bearing
1.750388535,-1.897911875,-0.000862774,0.723520919,-1.125304999,0.159263513,0.723507011,Faulty Bearing
1.860950189,-1.752404256,-0.002303025,0.730208621,-1.132187884,0.155209913,0.730194585,Faulty Bearing
1.712631899,-1.829381389,0.001770254,0.731508709,-1.112544648,0.138094833,0.731494648,Faulty Bearing
1.845545034,-1.84227993,0.001087254,0.727732588,-1.108805305,0.150926999,0.7277186,Faulty Bearing
1.789877843,-1.846880961,-0.000699528,0.724428595,-1.096946309,0.148076935,0.72441467,Faulty Bearing
1.96728474,-1.848214924,0.003332264,0.740543333,-1.102644187,0.204725869,0.740529098,Faulty Bearing
1.721345968,-1.870319539,0.000451455,0.741303729,-1.119261634,0.198189695,0.74128948,Faulty Bearing
1.815297257,-1.924824942,-0.00205617,0.739572647,-1.107937829,0.190824993,0.739558431,Faulty Bearing
2.194145375,-1.938418216,0.00137869,0.756667933,-1.093313824,0.222777427,0.756653388,Faulty Bearing
1.935515565,-1.891282874,7.32E-05,0.755037009,-1.090060722,0.192025343,0.755022496,Faulty Bearing
1.944245829,-1.961125599,0.001538356,0.748606564,-1.074084689,0.202033946,0.748592175,Faulty Bearing
2.016335916,-1.857504774,0.006582439,0.761467551,-1.090890079,0.21436154,0.761452853,Faulty Bearing
4.926530806,-3.606395276,-0.002717696,0.756320378,-0.990008099,0.218261858,0.756305821,Faulty Bearing
2.071354188,-1.926273428,-0.00107458,0.763633098,-1.054720467,0.215630515,0.763618387,Faulty Bearing
2.122582723,-1.816813301,0.008298839,0.765779266,-1.065906342,0.246111779,0.76576449,Faulty Bearing
2.388318746,-2.18312958,-0.001109091,0.767367596,-1.008980125,0.196527936,0.767352783,Faulty Bearing
3.071543508,-3.69798655,0.000853917,0.7681468,-0.956365765,0.201483338,0.768131985,Faulty Bearing
2.057679427,-1.884002315,0.009822755,0.779914247,-1.08126999,0.227523498,0.779899221,Faulty Bearing
2.134624454,-2.184444455,-0.000737998,0.773271508,-1.030635798,0.223416529,0.773256633,Faulty Bearing
1.917385147,-1.899157359,0.001377064,0.779180788,-1.057736275,0.227693227,0.779159642,Faulty Bearing
2.614058328,-3.337259459,0.001012614,0.804544908,-0.543042676,0.263751697,0.804529443,Faulty Bearing
2.349703058,-2.263173834,0.001179414,0.843182954,-0.938825195,0.23629257,0.843166746,Faulty Bearing
2.431840223,-2.30000754,-0.003187566,0.853924464,-0.879858871,0.233980222,0.85390805,Faulty Bearing
